Mobile;Radio Call Sign;Date;Latitude;Longitude;Heading;Speed
MARICIA (ART);CB4523;13/03/2019 16:40:00;-36.640833;-73.090556;285;0
DON JAIME (ART);CA2276;13/03/2019 16:40:00;-39.239167;-74.902222;130;0.797
DON BENJA (ART);CA4314;13/03/2019 16:40:00;-39.924722;-75.491944;174;2.508
DON ARMANDO (ART);CB3212;13/03/2019 16:40:00;-36.641111;-73.091111;0;0
ROYAL BLUE (L/B);CA6676;13/03/2019 16:39:54;-27.0637;-70.8249;0;0
ODISEO (ART);CB8088;13/03/2019 16:39:47;-18.4717;-70.322;0;0
ISAURA (ART);CB5051;13/03/2019 16:39:44;-18.4727;-70.3218;355;0.505
COYI II (ART);CA5302;13/03/2019 16:39:40;-18.472;-70.3214;337;0.505
TIBURON B (ART);CB5791;13/03/2019 16:39:39;-41.7869;-73.1493;239;0
LOBO DE AFUERA V (ART);CA4636;13/03/2019 16:39:34;-18.4724;-70.3226;341;0
GRINGO PABLO II (ART);CB8300;13/03/2019 16:39:29;-18.473;-70.3216;9;0.505
DON UBALDO H.Q. (ART);CB4148;13/03/2019 16:39:27;-18.4712;-70.3224;0;0
UZIEL II (ART);CB7875;13/03/2019 16:39:25;-36.6879;-73.0679;45;4.51
AMADEUS (ART);CA4581;13/03/2019 16:39:25;-18.4749;-70.3221;28;0.505
PELICANO (ART);CB2179;13/03/2019 16:39:16;-18.4715;-70.3226;14;0.505
DON DANIEL I (L/B);CB5201;13/03/2019 16:39:14;-36.7262;-73.1315;0;0
STA. ISABEL III (L/B);CB8761;13/03/2019 16:39:08;-51.6931;-76.1274;13;0.991
J J (ART);CB2506;13/03/2019 16:39:00;-18.472;-70.3224;316;0
FEIDIPIDES (L/B);CB5726;13/03/2019 16:39:00;-39.8336;-73.256;339;0
PATRICIA III (ART);CB3815;13/03/2019 16:39:00;-36.538333;-72.955833;211;0
DON MANUEL R (ART);CA3586;13/03/2019 16:39:00;-36.689444;-73.077778;107;6.006
DON EDUARDO II (ART-TRP);CB8886;13/03/2019 16:39:00;-41.7225;-73.152778;145;0
NOVIA DEL MAR IV (ART);CA5130;13/03/2019 16:39:00;-36.650556;-73.079444;177;5.695
SOFIA M (L/B);CA6636;13/03/2019 16:39:00;-40.085833;-75.618611;191;4.199
JOSE LUIS (ART);CB4969;13/03/2019 16:39:00;-40.166667;-75.6875;230;4.102
DON NORMA (ART);CB8675;13/03/2019 16:39:00;-36.670278;-73.081111;31;0.894
DON FERNANDO II (ART);CB6996;13/03/2019 16:39:00;-39.933611;-75.82;300;6.201
LIDIA C (ART);CB8129;13/03/2019 16:39:00;-39.195;-75.286667;36;8.203
DON DIONISIO II (ART);CA5286;13/03/2019 16:39:00;-37.026389;-73.159167;163;0
PUERTO BRAVO (ART);CB7625;13/03/2019 16:39:00;-37.603333;-73.6525;13;0
ESTRELLA II (ART);CB4492;13/03/2019 16:39:00;-36.837778;-73.308333;359;1.808
DON MATEO I (ART);CA5696;13/03/2019 16:39:00;-37.601389;-73.655833;349;0
ACUARIO IV (ART);CB3567;13/03/2019 16:39:00;-37.600833;-73.658611;337;0
MARBELLA II (ART);CB6318;13/03/2019 16:39:00;-36.530278;-72.956944;233;0
DON WILLY (ART);CA4495;13/03/2019 16:39:00;-36.638611;-73.091389;239;0
MARISELA I (ART);CA4876;13/03/2019 16:39:00;-36.692778;-73.084167;182;3.79
EL ACUARIO I (ART);CA3606;13/03/2019 16:39:00;-36.838056;-73.396389;254;2.002
INGRID FERNANDA (ART);CA2921;13/03/2019 16:38:57;-37.6039;-73.6514;141;0
YARODAL II (TRP);CA5657;13/03/2019 16:38:55;-53.3643;-69.6728;5;0.505
ENRIQUE I (TRP);CB5437;13/03/2019 16:38:50;-45.231;-73.541;301;0
STA. ISABEL I (L/B);CB5705;13/03/2019 16:38:49;-51.2581;-76.0188;4;6.998
IGNACIA MONSERRAT (L/B);CA5615;13/03/2019 16:38:47;-35.2005;-72.6575;128;6.492
DON RAUL M (ART);CB6352;13/03/2019 16:38:46;-18.4724;-70.3226;16;0
MARCELO RODOLFO (ART);CB6507;13/03/2019 16:38:45;-18.4709;-70.3232;17;0
AMADEUS II (ART);CA5192;13/03/2019 16:38:45;-18.4725;-70.3232;3;0.505
SANTA MARGARITA I (L/B);CB2394;13/03/2019 16:38:43;-18.472;-70.3231;9;0.505
SANTA MARIA II (L/B);CB3528;13/03/2019 16:38:41;-36.638;-73.0892;0;0
LORETO V (ART);CA5374;13/03/2019 16:38:40;-18.4708;-70.3231;5;0.505
ISAAC (ART);CB8039;13/03/2019 16:38:34;-36.7261;-73.1318;0;0
TAJAMAR V (ART-TRP);CB8962;13/03/2019 16:38:34;-55.0819;-67.0738;0;0
VALENCIA (ART);CB2452;13/03/2019 16:38:27;-20.2045;-70.1527;22;0
CHANGO I (ART);CA4154;13/03/2019 16:38:19;-18.4712;-70.3224;353;0
SAN FRANCISCO II (ART/TRP);CB9837;13/03/2019 16:38:16;-42.3824;-73.6533;0;0
KAWESCAR (ART);CB8264;13/03/2019 16:38:15;-18.4713;-70.3232;339;0
DON ANIBAL (ART);CB3976;13/03/2019 16:38:02;-42.3132;-74.2149;192;6.492
SARITA II (ART);CB6395;13/03/2019 16:38:00;-36.800833;-73.376389;202;2.099
FLOPY I (ART);CA5582;13/03/2019 16:38:00;-46.861667;-75.687778;197;7.503
DON ALFONSO IV (L/B);CA6685;13/03/2019 16:38:00;-40.006389;-75.467222;350;1.905
LUCAS I (ART);CB9299;13/03/2019 16:38:00;-37.026111;-73.157222;104;0
ANTARES IV (ART);CA2738;13/03/2019 16:38:00;-41.877222;-73.033333;303;7.192
DON RODRIGO B (ART);CA3929;13/03/2019 16:38:00;-37.150833;-73.484444;36;0
DIEGO ESTEBAN (ART);CA5543;13/03/2019 16:37:57;-37.0277;-73.1596;177;0
MAR DE ROSS (ART);CB8583;13/03/2019 16:37:55;-41.4866;-72.9755;0;0
DON LUIS ALBERTO II (ART);CA3864;13/03/2019 16:37:53;-37.0974;-73.1644;89;0.097
MATIAS NICOLAS (ART);CA5093;13/03/2019 16:37:53;-36.7264;-73.1303;0;0
CHANGO (ART);CA2065;13/03/2019 16:37:52;-36.712;-73.1123;10;0
DON FRUCTUOSO (ART);CB7433;13/03/2019 16:37:39;-18.4727;-70.3217;0;0
REY SALOMON (ART);CB5545;13/03/2019 16:37:33;-41.7643;-73.1313;13;0
RIO JORDAN X (ART);CA7673;13/03/2019 16:37:30;-37.0979;-73.1648;211;0
GALILEA I (ART);CA3627;13/03/2019 16:37:10;-37.0263;-73.158;160;0.097
DOÑA BERNARDA (L/B);CA5416;13/03/2019 16:37:00;-29.952;-71.332;83;0
DON LUIS ALBERTO (ART);CB8058;13/03/2019 16:37:00;-36.71;-73.112;282;0
MISIONERA II (ART) 153076;CB5982;13/03/2019 16:37:00;-36.715;-73.107;181;0
YULIANA ANTONELLA (ART);CA6271;13/03/2019 16:37:00;-27.052;-70.813;140;0.505
GAROTA IV (ART);CA5832;13/03/2019 16:37:00;-29.965;-71.373;89;6.998
AGUILA REAL (ART);CB4161;13/03/2019 16:37:00;-39.833;-73.254;252;0
RIO VALDIVIA (ART);CB8173;13/03/2019 16:37:00;-39.874;-73.384;250;0
MARIA SOLEDAD II (ART);CB9670;13/03/2019 16:37:00;-29.968;-71.354;171;0
DON JOSE MIGUEL (ART);CB3573;13/03/2019 16:37:00;-27.076;-70.848;61;0
DON HECTOR I (ART);CB4815;13/03/2019 16:37:00;-39.891;-73.42;193;0
CONSTITUCION (ART);CB8064;13/03/2019 16:37:00;-39.874;-73.384;327;0
SOFIA MAGDALENA (ART);CA2112;13/03/2019 16:37:00;-28.181;-71.23;171;6.492
GAROTA V (ART??);CA6799;13/03/2019 16:37:00;-30.122;-71.627;285;7.503
GAROTA II (ART);CA3942;13/03/2019 16:37:00;-29.929;-71.38;161;6.998
DELFIN 2000 (ART);CB6837;13/03/2019 16:37:00;-29.967;-71.36;252;0
DON PANCRACIO (ART);CB8165;13/03/2019 16:37:00;-28.186;-71.239;151;6.006
DON CHOLITO (ART);CB6701;13/03/2019 16:37:00;-39.834;-73.257;161;0
CHUBASCO I (ART);CB4352;13/03/2019 16:37:00;-27.076;-70.848;245;0
DON BOSCO (ART);CB6666;13/03/2019 16:37:00;-36.712;-73.113;135;0
FORTUNA IV (ART);CA2841;13/03/2019 16:37:00;-28.197;-71.342;149;7.503
CLAUDIO I (ART);CB6658;13/03/2019 16:37:00;-39.548;-73.361;192;8.009
DONCELLA II (ART);CB9807;13/03/2019 16:37:00;-36.676;-73.073;118;4.004
DOÑA CARMELA (ART);CB8749;13/03/2019 16:37:00;-39.835;-73.258;358;0
FORTUNA III (ART);CB8070;13/03/2019 16:37:00;-27.063;-70.826;32;0
PUNTA DE HUMO (L/B);CB2205;13/03/2019 16:37:00;-29.952;-71.335;354;0
PUNTA BRAVA (ART);CA3697;13/03/2019 16:37:00;-39.874;-73.384;350;0
DON JOAQUIN  (ART);CB5153;13/03/2019 16:37:00;-39.873;-73.383;17;0
ANSELMO I (ART);CB8578;13/03/2019 16:37:00;-36.627;-73.038;335;6.998
SAMARITANO I (ART);CB9955;13/03/2019 16:37:00;-39.891;-73.423;297;0
ISAAC II (ART);CA4843;13/03/2019 16:37:00;-39.548;-73.369;179;6.998
DON LUIS (ART);CB6500;13/03/2019 16:37:00;-23.094;-70.446;283;0
DON ULMES (ART);CA3763;13/03/2019 16:37:00;-39.884;-73.427;329;0
DOÑA JOVA 2DA (ART);CA4240;13/03/2019 16:37:00;-37.029;-73.158;28;0
PUNTA PICHICUY (ART);CB5095;13/03/2019 16:37:00;-27.064;-70.825;12;0
EL CID (ART);CB9336;13/03/2019 16:37:00;-28.203;-71.243;6;0
EL CHONO (ART);CB8218;13/03/2019 16:37:00;-45.771;-73.516;54;5.501
DON JOSE I (ART);CA3693;13/03/2019 16:37:00;-18.472;-70.324;75;0
DON BENITO II (ART);CB8981;13/03/2019 16:37:00;-28.186;-71.234;84;0
DON RAFAEL (ART);CB8339;13/03/2019 16:37:00;-33.584;-71.615;149;0
RAQUEL I (ART);CB8952;13/03/2019 16:37:00;-28.2;-71.256;113;6.998
MAIMAU I  (ART);CA4388;13/03/2019 16:37:00;-28.123;-71.247;171;7.503
MASTER (ART);CB6356;13/03/2019 16:37:00;-39.835;-73.258;193;0
DON ATILIO (ART);CA3559;13/03/2019 16:37:00;-28.27;-71.23;15;6.006
PIONERO (ART);CB6548;13/03/2019 16:37:00;-27.061;-70.824;117;0
DON JOSE EDGARDO (ART);CB8209;13/03/2019 16:37:00;-27.063;-70.825;67;0
LONQUIMAY 2 (ART);CB4813;13/03/2019 16:37:00;-27.061;-70.827;35;0
GAROTA (ART);CB8360;13/03/2019 16:37:00;-30.009;-71.426;5;6.998
MARIA PABLA (ART);CA3916;13/03/2019 16:37:00;-29.968;-71.354;333;0
TURIMAR II (ART);CB7028;13/03/2019 16:37:00;-36.641944;-73.090278;0;0
CRISTINA (ART);CB7787;13/03/2019 16:37:00;-36.670556;-73.080556;166;5.793
DON JEAN PIERRE (ART);CB8435;13/03/2019 16:37:00;-39.243611;-75.519444;221;3.907
ORION IV (ART);CA3426;13/03/2019 16:37:00;-41.786944;-73.186111;31;0
ANA MARIA (ART);CA2598;13/03/2019 16:37:00;-37.0825;-73.261389;218;8.009
DON NAO (ART);CA2070;13/03/2019 16:37:00;-40.0125;-75.991944;232;4.801
EMELINDA (ART);CB3118;13/03/2019 16:37:00;-36.725833;-73.132222;275;0
DOÑA GLADYS II (ART);CA3307;13/03/2019 16:37:00;-37.05;-73.21;57;6.803
ANGELINA (ART);CB7753;13/03/2019 16:37:00;-36.726389;-73.1325;46;0
RICARDO JESUS (ART);CA4197;13/03/2019 16:37:00;-37.028;-73.16;0;0
TRINIDAD (ART);CB8949;13/03/2019 16:37:00;-27.062;-70.825;20;0
KALI (ART);CB8951;13/03/2019 16:37:00;-28.239;-71.306;16;0.991
JOSE SEBASTIAN (ART);CB9898;13/03/2019 16:37:00;-37.026;-73.155;229;0
FELIPE EDUARDO (ART);CB7652;13/03/2019 16:37:00;-45.401;-72.703;146;0
JECHITO VI (L/B);CB3884;13/03/2019 16:37:00;-33.444;-71.993;40;4.996
ALBERTO M (ART);CA6190;13/03/2019 16:37:00;-39.874;-73.383;99;0
DON JUAN (ART-TRP);CB9510;13/03/2019 16:37:00;-45.165;-73.524;2;0
ROLANDO (ART);CA3502;13/03/2019 16:37:00;-39.604;-73.366;202;8.009
EL BELA (ART);CB8059;13/03/2019 16:36:56;-37.0981;-73.1674;305;0.194
CARLOS FABIAN III (ART);CB9406;13/03/2019 16:36:53;-41.4866;-72.977;0;0
DOÑA MERCEDES (ART);CB4519;13/03/2019 16:36:50;-23.0926;-70.4462;211;0
ORCA (ART);CB8884;13/03/2019 16:36:39;-42.8004;-72.8808;356;6.492
ARKHOS II (ART);CB6995;13/03/2019 16:36:36;-18.4716;-70.3224;0;0
MARGOT MARIA (ART-TRP);CB5280;13/03/2019 16:36:33;-53.2089;-70.9388;0;0
DON ANSELMO II (ART);CB9589;13/03/2019 16:36:20;-37.0986;-73.1667;7;0.505
LOBA DE MAR (ART);CB5291;13/03/2019 16:36:19;-37.6031;-73.6531;360;0
ARKHOS I (ART);CB8235;13/03/2019 16:36:16;-18.4716;-70.3223;0;0
ABEL (ART);CA3747;13/03/2019 16:36:07;-18.4723;-70.3233;5;0
MARIA CECILIA I (L/B);CA4895;13/03/2019 16:36:04;-22.0908;-70.2043;11;0.505
DON MATEO (ART);CA2746;13/03/2019 16:36:00;-37.026389;-73.156667;64;0
HALCON I (ART);CA5204;13/03/2019 16:36:00;-36.710833;-73.110833;149;0
JEPE I (ART);CB6827;13/03/2019 16:36:00;-29.9671;-71.3605;22;0
RUCACH I (ART-TRP);CB8233;13/03/2019 16:35:51;-53.0956;-70.8747;0;0
DON ALEX (L/B);CB4472;13/03/2019 16:35:51;-45.8553;-75.647;147;0.505
DON CARLIN I (L/B);CA4559;13/03/2019 16:35:48;-41.4865;-72.9772;298;0
GABRIELA I (ART);CB2412;13/03/2019 16:35:45;-27.8725;-71.2413;98;5.501
DON NENE (ART);CB5547;13/03/2019 16:35:44;-37.5998;-73.662;0;0
PETROHUE III (ART);CB8757;13/03/2019 16:35:43;-18.4723;-70.3211;0;0
EBENEZER II (ART);CB8449;13/03/2019 16:35:36;-39.8736;-73.3833;0;0
DON LUCHO (ART);CB9555;13/03/2019 16:35:26;-18.4717;-70.323;0;0
ISAURA I (ART);CA2650;13/03/2019 16:35:16;-18.473;-70.3215;5;0.505
DON ROBERT (ART);CA2698;13/03/2019 16:35:15;-39.1481;-75.4763;32;7.503
ANTARES II (ART);CB8832;13/03/2019 16:35:00;-42.895278;-73.479444;197;0
YOLIH (ART);CB2504;13/03/2019 16:35:00;-36.675556;-73.079444;55;0
ALDEBARAN II (ART);CB3903;13/03/2019 16:35:00;-23.096667;-70.446667;42;0
CANDELARIA II (ART);CA4249;13/03/2019 16:35:00;-28.066667;-71.27;199;8.106
LAUCA (ART);CA3610;13/03/2019 16:35:00;-36.653611;-73.084167;43;0
NELLY (ART);CB3301;13/03/2019 16:35:00;-37.026667;-73.158056;0;0
DON BRUNO (ART);CB7732;13/03/2019 16:35:00;-36.711111;-73.109722;75;0
DON DEMETRIO III (ART);CB8555;13/03/2019 16:35:00;-37.098056;-73.165556;81;0
PACIFICO A (TRP);CB3896;13/03/2019 16:34:59;-54.9316;-67.5983;2;0.505
CAMPARI I (ART);CB9584;13/03/2019 16:34:27;-41.7874;-73.1488;66;0
COYI I (ART);CA5350;13/03/2019 16:34:25;-18.472;-70.3214;0;0
TUAREG I (ART);CB8162;13/03/2019 16:34:24;-18.4728;-70.3232;0;0
DON ORLANDO (ART);CB9879;13/03/2019 16:34:24;-36.7263;-73.1315;0;0
ELVA S (ART;CB3120;13/03/2019 16:34:24;-18.4719;-70.3214;0;0
LOBO DE AFUERA IV (ART);CA3433;13/03/2019 16:34:17;-18.4724;-70.3226;342;0.505
ENRIQUETA (ART);CB4499;13/03/2019 16:34:17;-22.2747;-70.6949;19;5.501
TITIN (ART);CA2458;13/03/2019 16:34:00;-42.428056;-73.400556;4;6.395
GUAYACAN I (ART);CB7013;13/03/2019 16:34:00;-41.491667;-72.984722;0;0
KAREN PAMELA (ART);CA4047;13/03/2019 16:34:00;-18.471667;-70.323611;233;0
MAMA EDITH (ART);CA6783;13/03/2019 16:34:00;-37.115556;-73.343333;63;6.901
MARTIN RENATO (ART);CA2800;13/03/2019 16:34:00;-37.146667;-73.432778;29;2.896
NIÑA XIMENA (L/B);CA6685;13/03/2019 16:34:00;-37.181389;-73.488889;164;1.108
JORGE ANDRES (ART);CA6216;13/03/2019 16:34:00;-37.026111;-73.1575;257;0
PIA LICETTY I (ART);CA5601;13/03/2019 16:34:00;-45.158889;-73.518333;353;0
VALENTINA (L/B);CA7237;13/03/2019 16:34:00;-18.470833;-70.323056;313;0
PETROHUE II (ART);CB7843;13/03/2019 16:33:56;-18.4726;-70.3208;0;0
BUENA FE II (L/B);CB5552;13/03/2019 16:33:38;-39.8338;-73.2561;0;0
JOSUE (ART);CB6783;13/03/2019 16:33:21;-36.7272;-73.1315;0;0
DALCA (ART);CB4849;13/03/2019 16:33:20;-37.602;-73.6567;321;0
ANTARES (ART);CA7199;13/03/2019 16:33:19;-44.2037;-73.8906;200;0.097
PETROHUE I (ART);CB7842;13/03/2019 16:33:18;-18.4725;-70.3207;0;0
DON FELIX (L/B);CB8925;13/03/2019 16:33:00;-41.7785;-74.0753;70;5.501
MULATO (L/B);CA4086;13/03/2019 16:33:00;-18.4663;-70.3189;61;0
DON FELIX II (L/B);CA4031;13/03/2019 16:33:00;-41.4868;-72.9769;0;0
DON ISAAC (ART);CA3231;13/03/2019 16:33:00;-41.764444;-73.128056;0;0
MAR PRIMERO (ART);CB8415;13/03/2019 16:32:59;-37.5992;-73.662;1;0
MARIA ISABEL (ART);CB4425;13/03/2019 16:32:55;-36.7262;-73.1322;0;0
ODISEO (ART);CB8088;13/03/2019 16:32:40;-18.4718;-70.322;0;0
ESTRELLA DE BELEN I (L/B);CB7386;13/03/2019 16:32:36;-37.6007;-73.6585;33;0
CECILIA III (ART);CB5169;13/03/2019 16:32:30;-36.7264;-73.1314;0;0
JOYA I (L/B);CB7132;13/03/2019 16:32:20;-37.6007;-73.6584;0;0
DON EUGENIO (ART);CB7246;13/03/2019 16:32:18;-41.7773;-73.1299;60;0
UZIEL II (ART);CB7875;13/03/2019 16:32:00;-36.6845;-73.0671;189;4.51
DON JORGE LUIS M (ART);CB8183;13/03/2019 16:32:00;-37.026944;-73.157778;110;0.097
KOKALECA III (ART);CA2563;13/03/2019 16:32:00;-42.382778;-73.654444;274;0
DON FRANCISCO I (ART);CA3074;13/03/2019 16:32:00;-42.006944;-72.594444;347;0
DON ALFONSO II (ART);CB6772;13/03/2019 16:32:00;-41.493056;-72.985;41;0
MARICIA (ART);CB4523;13/03/2019 16:32:00;-36.640833;-73.090556;224;0
DOÑA CATALINA (ART);CB4518;13/03/2019 16:32:00;-37.028889;-73.159444;123;0
DON BENJA (ART);CA4314;13/03/2019 16:32:00;-39.916667;-75.490278;170;1.905
DON ARMANDO (ART);CB3212;13/03/2019 16:32:00;-36.641111;-73.091111;349;0
MAULINA IV (ART);CB8615;13/03/2019 16:31:59;-36.6696;-73.0856;192;6.609
MAR DE LIGURIA (ART);CA3680;13/03/2019 16:31:54;-36.5356;-72.9554;123;0.194
MARY PAZ II (ART);CB8321;13/03/2019 16:31:54;-23.0938;-70.445;196;0.097
JORGE VI (TRP);CA6408;13/03/2019 16:31:49;-53.0976;-70.8726;263;0.097
ISAURA (ART);CB5051;13/03/2019 16:31:44;-18.4727;-70.3218;47;0.505
LUIS ALBERTO I (L/B);CA7608;13/03/2019 16:31:36;-37.602;-73.6545;109;0
ARKHOS IV (ART);CA6307;13/03/2019 16:31:35;-18.4715;-70.3224;8;0
COYI II (ART);CA5302;13/03/2019 16:31:34;-18.472;-70.3214;9;0.505
DON ENRI (ART);CA2784;13/03/2019 16:31:33;-37.0969;-73.165;181;0.097
DON UBALDO H.Q. (ART);CB4148;13/03/2019 16:31:30;-18.4712;-70.3224;0;0
CHANGO I (ART);CA4154;13/03/2019 16:31:26;-18.4712;-70.3224;7;0
FRONTERA (TRP);CB7833;13/03/2019 16:31:14;-53.0966;-70.875;0;0
GUAJACHE II (ART);CA2756;13/03/2019 16:31:14;-18.4721;-70.3218;5;0.505
EUGENIO (ART);CA3058;13/03/2019 16:31:02;-41.7874;-73.1503;270;0.097
GOLONDRINA II (ART);CB4527;13/03/2019 16:31:02;-39.8738;-73.3834;306;0
ADONAY II (ART-TRP);CA2528;13/03/2019 16:31:02;-53.0956;-70.875;0;0
SAN SEBASTIAN I;CB9031;13/03/2019 16:31:00;-41.511667;-72.334444;0;0
SANTA MARIA A (ART);CA3051;13/03/2019 16:31:00;-41.488611;-72.971667;0;0
J J (ART);CB2506;13/03/2019 16:31:00;-18.4721;-70.3223;89;0
DON DIONISIO II (ART);CA5286;13/03/2019 16:31:00;-37.026389;-73.159167;227;0
KAWESCAR (ART);CB8264;13/03/2019 16:30:59;-18.4713;-70.3232;4;0
ALBORADA (ART);CB8966;13/03/2019 16:30:57;-41.4873;-72.9749;66;0
GRINGO PABLO II (ART);CB8300;13/03/2019 16:30:57;-18.473;-70.3216;349;0.505
AMADEUS (ART);CA4581;13/03/2019 16:30:57;-18.4749;-70.3221;22;0.505
DON DANILO F;CA6716;13/03/2019 16:30:56;-37.6009;-73.6586;20;0
LOBO DE AFUERA V (ART);CA4636;13/03/2019 16:30:51;-18.4724;-70.3226;21;0.505
DON RAUL M (ART);CB6352;13/03/2019 16:30:48;-18.4724;-70.3227;18;0
AMADEUS II (ART);CA5192;13/03/2019 16:30:44;-18.4725;-70.3232;0;0
SANTA MARGARITA I (L/B);CB2394;13/03/2019 16:30:43;-18.472;-70.323;0;0
MARCELO RODOLFO (ART);CB6507;13/03/2019 16:30:43;-18.4709;-70.3232;0;0
DON VICENTE I (ART);CB4407;13/03/2019 16:30:33;-37.6005;-73.659;352;0
DON MAXI (ART);CA5119;13/03/2019 16:30:33;-37.6016;-73.6574;316;0
LORETO V (ART);CA5374;13/03/2019 16:30:33;-18.4708;-70.3231;0;0
LONCONAO (ART);CB9939;13/03/2019 16:30:25;-42.5055;-73.3915;343;6.395
MATIAS IGNACIO (L/B);CB9841;13/03/2019 16:30:20;-33.5877;-71.6141;2;0
JOYA II (L/B);CB3092;13/03/2019 16:30:15;-37.6027;-73.6534;40;0
PELICANO (ART);CB2179;13/03/2019 16:30:15;-18.4715;-70.3226;0;0
MATIAS NICOLAS (ART);CA5093;13/03/2019 16:30:08;-36.7264;-73.1303;0;0
CALYPSO III (L/B);CB3661;13/03/2019 16:30:05;-39.8331;-73.2551;24;0
ISAAC (ART);CB8039;13/03/2019 16:30:04;-36.7262;-73.1318;0;0
DOÑA BERNARDA (L/B);CA5416;13/03/2019 16:30:00;-29.952;-71.332;83;0
DON LUIS ALBERTO (ART);CB8058;13/03/2019 16:30:00;-36.71;-73.112;282;0
SANTA XIMENA II (L/B);CB6740;13/03/2019 16:30:00;-37.599;-73.662;288;0
MISIONERA II (ART) 153076;CB5982;13/03/2019 16:30:00;-36.715;-73.107;223;0
YULIANA ANTONELLA (ART);CA6271;13/03/2019 16:30:00;-27.052;-70.813;82;0.505
DON TOMAS (L/B);CB9682;13/03/2019 16:30:00;-41.777;-73.13;354;0
GAROTA IV (ART);CA5832;13/03/2019 16:30:00;-29.972;-71.388;56;6.998
LA MISIONERA (L/B);CB4194;13/03/2019 16:30:00;-36.67;-73.094;344;4.51
AGUILA REAL (ART);CB4161;13/03/2019 16:30:00;-39.833;-73.254;241;0
RIO JORDAN IV (ART);CB7665;13/03/2019 16:30:00;-37.099;-73.166;34;0
RIO VALDIVIA (ART);CB8173;13/03/2019 16:30:00;-39.874;-73.384;175;0
MELISSA KAREN (L/B);CB3151;13/03/2019 16:30:00;-25.957;-70.937;355;4.996
NATALIA II (ART);CA2795;13/03/2019 16:30:00;-41.754;-73.733;275;6.006
MARIA SOLEDAD II (ART);CB9670;13/03/2019 16:30:00;-29.968;-71.354;171;0
CAZADOR (MENOR);CB4015;13/03/2019 16:30:00;-36.338;-75.175;306;4.996
JOSE SEBASTIAN (ART);CB9898;13/03/2019 16:30:00;-37.026;-73.155;229;0
DON JOSE MIGUEL (ART);CB3573;13/03/2019 16:30:00;-27.076;-70.848;61;0
DON HECTOR I (ART);CB4815;13/03/2019 16:30:00;-39.891;-73.42;193;0
DON IGEL (L/B);CB5946;13/03/2019 16:30:00;-40.121;-75.736;66;8.009
CONSTITUCION (ART);CB8064;13/03/2019 16:30:00;-39.874;-73.384;327;0
SANTO ISIDORO (L/B);CA4894;13/03/2019 16:30:00;-22.294;-70.592;265;0
MARGARITA DEL MAR (ART);CB6982;13/03/2019 16:30:00;-36.712;-73.113;227;0
SOFIA MAGDALENA (ART);CA2112;13/03/2019 16:30:00;-28.167;-71.235;152;7.503
GAROTA V (ART??);CA6799;13/03/2019 16:30:00;-30.127;-71.612;295;7.503
GAROTA II (ART);CA3942;13/03/2019 16:30:00;-29.916;-71.384;174;6.998
DELFIN 2000 (ART);CB6837;13/03/2019 16:30:00;-29.967;-71.36;252;0
DON PANCRACIO (ART);CB8165;13/03/2019 16:30:00;-28.174;-71.246;149;6.998
CENTURION 2000 (L/B);CB2665;13/03/2019 16:30:00;-37.6;-73.66;172;0
MILTON PATRICIO (L/B);CB6759;13/03/2019 16:30:00;-39.371;-74.98;271;6.492
DON CHOLITO (ART);CB6701;13/03/2019 16:30:00;-39.834;-73.257;161;0
CHUBASCO I (ART);CB4352;13/03/2019 16:30:00;-27.076;-70.848;245;0
DON BOSCO (ART);CB6666;13/03/2019 16:30:00;-36.712;-73.113;135;0
DEMETRIO II (L/B);CB5911;13/03/2019 16:30:00;-39.254;-75.439;201;4.51
PLEBEYO (L/B);CB4489;13/03/2019 16:30:00;-37.601;-73.658;317;0
FORTUNA IV (ART);CA2841;13/03/2019 16:30:00;-28.186;-71.352;121;6.998
CLAUDIO I (ART);CB6658;13/03/2019 16:30:00;-39.532;-73.355;191;8.009
DONCELLA II (ART);CB9807;13/03/2019 16:30:00;-36.674;-73.077;26;0.991
DOÑA CARMELA (ART);CB8749;13/03/2019 16:30:00;-39.835;-73.258;358;0
FORTUNA III (ART);CB8070;13/03/2019 16:30:00;-27.063;-70.826;32;0
PUNTA DE HUMO (L/B);CB2205;13/03/2019 16:30:00;-29.952;-71.335;354;0
PUNTA DEL ESTE (L/B);CB2715;13/03/2019 16:30:00;-43.122;-73.624;170;0.505
PUNTA BRAVA (ART);CA3697;13/03/2019 16:30:00;-39.874;-73.384;350;0
DON JOAQUIN  (ART);CB5153;13/03/2019 16:30:00;-39.873;-73.383;17;0
ANSELMO I (ART);CB8578;13/03/2019 16:30:00;-36.64;-73.038;1;6.998
LINARES (ART);CB8063;13/03/2019 16:30:00;-39.835;-73.258;188;0
SAMARITANO I (ART);CB9955;13/03/2019 16:30:00;-39.891;-73.423;297;0
ISAAC II (ART);CA4843;13/03/2019 16:30:00;-39.536;-73.369;196;6.998
DON LUIS (ART);CB6500;13/03/2019 16:30:00;-23.094;-70.446;283;0
DON ULMES (ART);CA3763;13/03/2019 16:30:00;-39.884;-73.427;329;0
DOÑA JOVA 2DA (ART);CA4240;13/03/2019 16:30:00;-37.029;-73.159;28;0
PUNTA PICHICUY (ART);CB5095;13/03/2019 16:30:00;-27.064;-70.825;12;0
EL CID (ART);CB9336;13/03/2019 16:30:00;-28.203;-71.241;24;2.002
